Шаг,Значение,Функция
0.01000,37382233.44029,Function
0.02000,10603415.54311,Function
0.03000,4123959.62649,Function
0.04000,1918848.51738,Function
0.05000,1013052.88951,Function
0.06000,559011.00436,Function
0.07000,330561.89833,Function
0.08000,200572.77142,Function
0.09000,129427.54039,Function
0.10000,81387.28820,Function
0.01000,-5.98698,LogFunction
0.02000,-5.27820,LogFunction
0.03000,-4.80256,LogFunction
0.04000,-4.44883,LogFunction
0.05000,-4.17355,LogFunction
0.06000,-3.93264,LogFunction
0.07000,-3.73136,LogFunction
0.08000,-3.54952,LogFunction
0.09000,-3.39739,LogFunction
0.10000,-3.24339,LogFunction
0.01000,-3.78261,LogFunction
0.02000,-3.33480,LogFunction
0.03000,-3.03429,LogFunction
0.04000,-2.81080,LogFunction
0.05000,-2.63687,LogFunction
0.06000,-2.48467,LogFunction
0.07000,-2.35750,LogFunction
0.08000,-2.24261,LogFunction
0.09000,-2.14649,LogFunction
0.10000,-2.04920,LogFunction
0.01000,-1.80447,LogFunction
0.02000,-1.59084,LogFunction
0.03000,-1.44748,LogFunction
0.04000,-1.34087,LogFunction
0.05000,-1.25790,LogFunction
0.06000,-1.18529,LogFunction
0.07000,-1.12463,LogFunction
0.08000,-1.06982,LogFunction
0.09000,-1.02397,LogFunction
0.10000,-0.97755,LogFunction
0.01000,0.99978,CosFunction
0.02000,0.99962,CosFunction
0.03000,0.99936,CosFunction
0.04000,0.99900,CosFunction
0.05000,0.99854,CosFunction
0.06000,0.99798,CosFunction
0.07000,0.99732,CosFunction
0.08000,0.99656,CosFunction
0.09000,0.99569,CosFunction
0.10000,0.99473,CosFunction
0.01000,0.01000,SinFunction
0.02000,0.02000,SinFunction
0.03000,0.03000,SinFunction
0.04000,0.03999,SinFunction
0.05000,0.04998,SinFunction
0.06000,0.05996,SinFunction
0.07000,0.06994,SinFunction
0.08000,0.07991,SinFunction
0.09000,0.08988,SinFunction
0.10000,0.09983,SinFunction
0.01000,99.98006,CotFunction
0.02000,49.98455,CotFunction
0.03000,33.31714,CotFunction
0.04000,24.98175,CotFunction
0.05000,19.97918,CotFunction
0.06000,16.64300,CotFunction
0.07000,14.25906,CotFunction
0.08000,12.47026,CotFunction
0.09000,11.07823,CotFunction
0.10000,9.96392,CotFunction
0.01000,0.01000,TanFunction
0.02000,0.02001,TanFunction
0.03000,0.03001,TanFunction
0.04000,0.04003,TanFunction
0.05000,0.05005,TanFunction
0.06000,0.06009,TanFunction
0.07000,0.07013,TanFunction
0.08000,0.08019,TanFunction
0.09000,0.09027,TanFunction
0.10000,0.10036,TanFunction
0.01000,-4.12008,LnFunction
0.02000,-3.63231,LnFunction
0.03000,-3.30499,LnFunction
0.04000,-3.06156,LnFunction
0.05000,-2.87212,LnFunction
0.06000,-2.70633,LnFunction
0.07000,-2.56782,LnFunction
0.08000,-2.44268,LnFunction
0.09000,-2.33799,LnFunction
0.10000,-2.23201,LnFunction
